Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.translationXerror,SU.translationYerror,M1.translationXerror,M1.translationYerror,M1.rotationXerror,M1.rotationYerror,M2.translationXerror,M2.translationYerror,M2.rotationXerror,M2.rotationYerror,PG.translationXerror,PG.translationYerror,PG.rotationXerror,PG.rotationYerror,M3.translationXerror,M3.translationYerror,M3.rotationXerror,M3.rotationYerror,M4.translationXerror,M4.translationYerror,M4.rotationXerror,M4.rotationYerror,M5.translationXerror,M5.translationYerror,M5.rotationXerror,M5.rotationYerror
10,2.25,0.01,100,1,300000.0,3.0834003996509324e-05,-0.00021437114411428267,-5.865661308202959e-05,0.00027329285930049937,1.1568308129009614e-05,3.784403207188111e-05,0.0002398454302932693,0.0002799845076390547,9.573650429801786e-06,-3.9285504912520025e-06,-0.0001719372430705423,-0.000184628361312256,-4.7244610843468096e-05,-4.408651466151965e-05,-0.0001668409956650754,-7.256640683531921e-05,1.4472140637329039e-05,-1.583939142942292e-05,2.5000367065268763e-06,-2.2773437693246847e-05,2.315400397159528e-05,4.6465968480115484e-05,-0.00018819749968221862,-0.00022204911343292916,4.5531938817412985e-05,8.861158441619723e-08
11,2.25,0.01,100,1,300000.0,0.00013588101353146335,-6.343547657460268e-05,0.00027849532559457514,-0.0002744087676870591,4.611475496352168e-05,4.267891213004762e-05,3.475012783138025e-05,0.00011830313267402226,-6.761456718480518e-06,4.1551509278323197e-05,0.00029921061203551136,-9.500793584598901e-05,2.802699004632901e-06,7.319854402858917e-06,3.336710674881348e-05,0.0001043822768169213,-1.3594993597323977e-05,8.972415170122695e-06,-0.00013516403448766957,-8.355205398083567e-05,3.2247232780838237e-05,2.995352818360953e-05,5.319571307736611e-05,-0.0001790487115618973,-8.18416373698716e-06,2.28944849398268e-05
12,2.25,0.01,100,1,300000.0,-0.00011844283294878735,4.0008324206445775e-05,3.367207233402576e-05,0.00024967551331120727,7.600071720013658e-06,-1.5702680675560986e-05,0.000264701044699339,-0.00024424630170958537,5.454613884847306e-06,-6.153616464840194e-06,8.999273169100076e-05,-6.643851610276398e-05,1.2606259305813991e-05,3.254547969632272e-05,0.0001286053339556311,0.00029328816468895486,4.425493794988637e-05,-1.6926691541319895e-05,0.0002701948107676286,3.697385654775258e-05,7.986987284599778e-06,-1.778926538998721e-05,0.00023231909305748737,-6.75851934081261e-05,4.731821010809622e-05,-3.957724314046096e-05
13,2.25,0.01,100,1,300000.0,-0.00023808077441056435,0.00017725620151564763,6.501500011947716e-05,-6.914188800662767e-05,-3.017828533930176e-05,-2.772037294952078e-05,0.0002775992108841285,-2.358449554338139e-06,-1.2953766942441327e-05,-1.3285671707553849e-05,-0.0001330844838817826,-8.874336827283393e-05,-3.3116294850347296e-05,-3.970936888292576e-05,0.00018405380733726648,-9.773817403794193e-05,-3.836622965830389e-05,2.1736078334587918e-06,0.00028801647804712005,5.020174524605469e-05,-4.917510421229751e-06,1.8093655869655486e-05,-0.00017822143508368457,0.00018326013884877067,3.474941540550944e-05,4.007885302554531e-05
14,2.25,0.01,100,1,300000.0,-4.368712512862495e-06,-8.445525815256117e-05,2.3189708553897532e-05,-0.00017208991807383378,6.719610248772753e-06,-1.3252490914513861e-05,-0.00025796666775430746,-0.0002841613215501513,3.2876199535760997e-05,1.916310027660218e-05,-0.00020627690308423855,-5.5908358857145084e-05,4.134761617478066e-05,-2.2548123044307434e-05,0.00013262799994632855,0.0001746682611751781,-3.1769794906377525e-06,-2.632843293289573e-05,0.0001143955379151324,-0.00022955278057690292,-8.13168327088839e-06,-1.744758954693848e-05,-0.00024629033871959504,0.0002460565347223947,-4.869608572617325e-06,6.694763669161505e-06
15,2.25,0.01,100,1,300000.0,-2.607866589135325e-05,0.00022418223950222243,-0.00021996159529854913,-0.00027220527687062216,4.406030649212004e-05,-7.88011223731965e-06,0.00028182274620631656,6.52289636800062e-05,9.616477772891966e-06,-1.5050466304020658e-05,-7.233232224586908e-05,0.00029566671528651116,7.052985893750176e-06,-4.9532732634018366e-05,-7.690832703691918e-05,6.06928452693982e-05,2.0981049680669952e-05,-1.4137290911114199e-05,4.896221839420425e-05,0.0001926573109270339,2.078590800587976e-05,8.361257357079614e-06,0.00028741379569480094,-8.298533431000136e-05,2.284596450198576e-05,-1.1150694540802753e-05
16,2.25,0.01,100,1,300000.0,-0.00022032788199587782,-0.0002887491014860247,0.00013330175742720652,-0.00027719852195894816,4.691897649527949e-05,-4.023507963013694e-05,7.682286451433858e-05,-0.0001088940871359494,-5.805051449000689e-06,1.8404632817536195e-05,-0.00016637599486646695,4.158884721652909e-06,-1.4451634574472953e-06,-3.006071814302488e-05,0.00018710766460070536,-8.025879312588771e-06,2.638944454259329e-05,1.8474929078884755e-05,0.00020609523159182747,0.0002449701806019748,1.676015033486767e-05,-2.4109912534641098e-05,-9.844026688807424e-06,0.00023771232092624825,-3.821274528799734e-05,-3.0174782894964416e-05
17,2.25,0.01,100,1,300000.0,-0.00022121451365663287,0.00016351642366827727,-7.4255587437623e-05,0.00021201692376183052,-3.538653875700219e-05,-3.346638320976393e-05,6.437709669150616e-05,-0.00013195542411602857,3.772675772944198e-05,-1.2732161417532043e-05,-0.00021159953482952158,-0.00022019346924780076,-1.5799182506615983e-05,-3.685550698057837e-05,0.0002997444673256139,-0.00015040304832330758,1.1944928946758464e-05,1.157682258813745e-05,0.00023270620363670646,0.0001944032268183516,2.3105618549335107e-05,-4.245612334500259e-05,7.587670004631031e-05,2.6579484766589057e-06,-4.110843866952431e-05,-1.3193871417118464e-05
18,2.25,0.01,100,1,300000.0,-0.00023290591440582067,5.720971928293721e-05,0.0002916820368215096,-0.00023417467794579312,-3.702071331504949e-05,4.135996855013627e-05,-0.00019361488342710073,-0.00024950158322327177,-1.7312852218753208e-05,-3.188249727538319e-05,-0.00022777378681618145,0.00010407368052231926,-4.090184419747102e-06,1.883548573819905e-05,-5.815031900273328e-06,-9.942180161407835e-05,1.7636616739245217e-05,6.937882370922508e-06,-0.00017506467731432429,0.00010512242894543443,-4.415792373401719e-05,5.287787623116113e-06,2.8211008201886373e-05,0.00011242949733792317,-8.861420629115403e-06,1.6370407082369998e-05
19,2.25,0.01,100,1,300000.0,0.0002467292353878138,0.0002895542545386651,-0.00019885357140739688,-0.0002679903365449111,-4.420875423645002e-05,-4.758255971579057e-05,0.0001910340098590986,-6.86542445908116e-06,-2.0293388537566894e-05,-4.0828465903779704e-05,-4.893165935823142e-05,6.564908227867837e-05,-2.659435614702721e-05,3.937721762690263e-05,-0.00010139589464112057,-0.00023757965108180798,-2.9044081390581356e-05,-4.5352989544457506e-05,0.00015250874645511043,0.0002779130552830055,2.6341484528721606e-05,-2.9967866339695183e-05,4.959837252978012e-06,-0.0001354219966831474,-1.1674323663537016e-05,4.5287990421149494e-05
20,2.25,0.01,100,1,300000.0,0.00018233335999553714,0.0001937511405455769,-2.9006284223439963e-05,-0.00022959843104892875,4.183378834932699e-05,-4.258709283330583e-05,6.214173336920492e-05,0.00010660989429962011,2.558149389865821e-05,-1.6447303710203668e-05,9.618567321834776e-05,0.0001554755250980476,-2.7102810789180866e-05,4.755535080765114e-05,-0.00018833552145571046,4.941420287476404e-05,-3.259219861346666e-05,1.8689441719786836e-05,-0.00010369227744712193,-0.00029661182702041624,-3.324426498681209e-05,-4.639581396172185e-05,0.00010039504892910445,-9.243632240470712e-05,3.444055261451145e-05,-3.874255700917665e-06
21,2.25,0.01,100,1,300000.0,-0.0002403029155993346,4.7622751786678794e-05,-5.310104337830681e-05,0.00023373300116543073,2.5980406086570104e-05,-3.707949759461036e-06,-0.00019028114724957342,-3.981454791388196e-05,3.3462831851454384e-05,-3.463031520772063e-05,0.0001637683748035472,-5.8531252584314886e-05,1.7027789661114917e-05,-3.9611436711545735e-05,0.0002447816821682058,-0.00018701591484635154,1.577589576749292e-05,7.0979867084923135e-06,-1.7506795771331945e-05,0.00015392147200778237,-4.428751593976823e-05,-2.977285279685219e-06,0.00022670412552273786,6.749882538445423e-05,1.553299535587413e-05,2.1198371093795263e-05
22,2.25,0.01,100,1,300000.0,0.00011286894886168835,0.0002968195819249959,0.0002548498156648952,-0.0002017235078192407,4.8512502177968445e-05,-4.79051253629076e-05,-0.0002556268938872224,0.00013872425288929252,1.7293808629734968e-05,-2.1435257725592882e-05,0.00014754260425268447,-0.00024940079687469686,2.391150976504608e-05,-1.013543202916278e-05,0.00027850177964087417,-0.00022115230542487215,4.558065253006614e-05,-2.7672485851854146e-05,0.00019768861140460116,0.0001983195715485894,-4.1296034478935554e-05,-5.991160896531603e-06,-5.7180489049041435e-05,5.419747348112282e-05,4.266320018786554e-05,7.919264936027825e-06
23,2.25,0.01,100,1,300000.0,-0.0002690666037378617,6.901618941176869e-05,-0.00016333773332545833,-2.3110735501240493e-05,3.776418908181511e-05,1.0735448913304104e-05,0.00011801211778610473,0.00025139870258833414,-2.2399261105375978e-05,2.607210560145328e-05,-9.89834637288868e-05,-1.828614957304802e-05,-1.1843119860572675e-05,-3.6994241660521704e-05,0.00025888907587467573,-0.00022539978718915527,-3.1306631709908675e-05,-3.9378231339552354e-05,-7.314911891959517e-05,-4.888517800269698e-05,-3.2193535848743485e-05,4.748131420685531e-05,0.0002541149921796402,8.866650991861785e-05,-1.650544840269437e-05,-3.3491212142603846e-05
24,2.25,0.01,100,1,300000.0,0.00027011001447269843,0.00025195502331506954,0.00024090661292634573,0.00029882771674493027,-2.837353998344051e-05,5.374996797367663e-06,-0.0001793782094006566,-0.0002514440495494587,1.0129778023126878e-05,-3.702340552726799e-06,0.0001445087918307074,0.0002911797920746299,4.4602967400768715e-05,1.265715674204338e-05,-5.518320859114055e-05,-0.00019152325632123765,-4.417273515364465e-05,-2.20237803890574e-05,0.00027244564897371137,0.0001117352512391578,2.881488329892518e-05,-1.5640255887545087e-05,6.957251648003035e-06,-0.00013359309598350702,-2.6502087651744e-05,-3.6690393065785476e-05
25,2.25,0.01,100,1,300000.0,0.0001196613798935447,0.00023889361197344507,8.689995066809246e-05,-0.00011572909623329723,3.537312230708088e-05,-4.3452572305422315e-05,0.000136642550298555,0.00026111463067602807,-1.0048130381857969e-05,3.309859460837909e-05,-0.0002989232614445291,-0.00011130338898686872,-3.756756805976164e-05,4.187802669185095e-05,1.2705110758767129e-05,-0.0001837174385108616,1.585892835613344e-05,-1.2810921684332013e-05,0.00020723866823425932,5.648888133799081e-05,4.412071788443466e-05,-4.440687915869205e-06,8.712540868134936e-05,-0.0001875801584636418,1.4271379120150915e-05,4.293845692745359e-05
26,2.25,0.01,100,1,300000.0,-0.00022867466347989337,-0.00027604124707451773,-0.00014238130677319256,-7.540332208002534e-06,3.802394634804244e-05,3.837079384566086e-05,0.00014758019286580896,-0.000271954682501345,-4.2978812074673824e-05,-3.527061288803136e-05,0.00010658168326590925,-0.0001482562165514897,4.317285140600435e-06,-1.0999554456448704e-05,-5.924878658685609e-05,-0.00018710652512708183,4.221113656851614e-05,-4.419002251279159e-05,0.00023345388447716453,-7.713601031498346e-05,4.7245242217464814e-05,3.908980334704398e-05,-0.00023807915181209283,-0.00014689108635536927,-2.935443795668349e-05,4.165578420488834e-05
27,2.25,0.01,100,1,300000.0,0.0002947752479918434,0.00017852394075838361,0.00012970273031019777,-0.000127652279555682,2.3436713187591236e-05,-4.0373007129163465e-05,-2.55609152368184e-05,-9.112394546987909e-05,3.72758634125624e-05,-1.2810967575707965e-05,-0.00020761499968676063,3.290418487537065e-05,-2.2597180026505094e-05,2.9617775858621792e-05,0.00027177764619255705,-0.00013920971585309504,-1.4607738362113432e-05,2.6352916887168282e-05,0.0002488969953203406,0.00011324544569670973,3.26548215818459e-05,1.4276894871727558e-05,-0.0002719021837510975,6.772758826507317e-05,-1.0152996308616493e-05,1.2222499270327242e-05
28,2.25,0.01,100,1,300000.0,-0.0002471481168521213,0.00010257643987716448,0.00021100800766920988,5.46236229011069e-05,4.6777550922966626e-05,1.4033827931514118e-05,-0.0001998836628184537,2.4576827865216324e-05,-4.150257598749875e-05,-4.852221852149752e-05,-0.00024378425059595537,0.0002519497803116768,-1.088632546793816e-05,1.5651105746289204e-05,-6.679619686374865e-05,-6.17377378028737e-05,-1.562637499361357e-05,1.886658971500907e-05,-0.0002003171474455517,-0.00029280898197782233,-3.432653104548671e-05,-3.8186666805631954e-07,0.00016975271939910318,0.00021829473492247824,-3.0795400373568594e-05,4.447433917620417e-05
29,2.25,0.01,100,1,300000.0,-0.00027432272769827265,0.00012050525459641071,-5.388841010547647e-05,0.00016506697495324645,-4.2109372017996825e-06,1.7187631693690564e-05,-0.00018653520226743592,-7.330065121663887e-05,-4.942087554240359e-05,3.485923013856148e-05,0.00022301094467032774,0.00015869991701122877,-1.6803745356525627e-05,-1.3246898375143979e-05,-0.0002523427924531969,-0.00013149384631116806,-5.043931755434695e-06,-2.2344458173644388e-05,-1.1575192830240813e-06,0.0002319242957764765,4.8793547336819705e-05,3.4284722622824337e-05,-0.0001680581932179584,-0.00020626427304432123,-1.6398489772312565e-05,4.7763864429753475e-05
30,2.25,0.01,100,1,300000.0,0.0002768888601513326,0.0002456993543516201,-3.324612401810537e-05,4.151356292547259e-05,6.207059132029802e-06,-5.9781082276210275e-06,0.00029671179117762505,-0.00024074432826987562,-2.8200121866255945e-05,-3.5250509985710376e-05,-7.74362003997612e-06,0.00024642364723331404,-1.8234327448630306e-05,-2.8356102160892766e-06,-0.00011308784090888118,0.00028216257081166706,1.7198611604337962e-05,4.933588463416675e-05,9.001415450514882e-05,-0.00026356915018643047,3.314115535640424e-07,2.5513559396254068e-05,-0.0001256474321058872,0.0002584729862676759,-2.487903987867538e-05,-6.5914759749981426e-06
31,2.25,0.01,100,1,300000.0,7.724907067962485e-05,-0.00023196601828481098,-0.00025717403508978263,-0.00023055327010950934,-4.0307556869689635e-05,1.9823024662695805e-05,0.00023693706002214367,9.470032005853536e-05,-3.0867979084022815e-05,1.0027569610025899e-05,9.957866514521485e-06,-0.00028939521833341045,-1.300163730674845e-05,-1.7081789819330843e-05,-0.00023265262789195346,-0.00029420252318167927,-6.233247652974347e-06,-8.499931317339682e-06,-0.0001878870272224326,-0.00025638806729929415,-6.553940479409516e-06,4.8845927488827864e-05,-2.1002092530284975e-05,-0.0002750795489218662,2.0799323343337614e-05,4.813264017511198e-06
32,2.25,0.01,100,1,300000.0,8.999689827200768e-05,0.0001735423939245165,-0.00024142969038610737,-0.00018154101763816704,2.800250513573546e-05,-1.593423795744603e-05,-7.049703656142016e-05,-0.0002611070960899516,2.539451237186587e-05,-1.8351733561073946e-05,9.774576252285095e-05,-0.00021764339625599417,4.855161512951854e-05,-2.82990766426936e-05,-0.00018283400412788997,0.00015511005607038827,3.480515513606664e-05,-2.2724536875121228e-05,-0.0002717399734584315,-0.00020354591714551092,-2.8722345854114676e-05,-3.152632380471409e-05,-0.00028420552155063395,4.692417412069578e-06,-1.978672472703794e-05,1.4719635301664465e-05
33,2.25,0.01,100,1,300000.0,-0.00022471200718680897,-0.0001602087222161937,9.470633592388128e-05,-0.0001527674019722997,-1.2086529055789384e-05,2.964053585744823e-05,-0.00015830616469631178,0.00014264781274954744,1.5804190904489706e-05,-5.9326592693651706e-08,0.00029782315658593395,0.00027986490783065825,-4.880863793904246e-05,-8.63057850977084e-06,-0.0002582077257392415,-0.00012316831582250408,-3.20858154524219e-05,-6.559314644856132e-06,-0.0002525044393599149,-2.835205892388838e-05,-2.3400140512258617e-05,-1.969817340134542e-05,6.229715767539157e-05,-0.00012233525646473918,-1.5127616661604368e-05,-2.662519294877358e-05
34,2.25,0.01,100,1,300000.0,-0.000289022000223469,0.00010064100856057781,0.0001931169003107723,-3.638191283706179e-05,-4.877474404065636e-05,-3.7353094378660506e-05,-4.585128061665558e-05,-0.00011279723054313752,2.499719783903986e-06,3.663874465600448e-05,0.0001854268370407647,0.0002323155442998961,1.445750661748434e-05,-1.5711568292987754e-05,6.470678476557895e-05,0.0001856627420870498,4.1082161519806445e-05,-2.3912731795248165e-05,0.00022300149845388793,-0.00019533425543242383,-1.1580604548023208e-05,3.45250776527738e-05,0.0002452791752172929,0.00010121291196820516,-4.121760180062083e-06,4.374822124722193e-05
35,2.25,0.01,100,1,300000.0,-0.0001057425183124489,-0.00011469444837363866,-0.00010624711724594702,0.00020947624639058594,2.2729475019427966e-05,-5.3506457089613446e-06,0.00021242392581996176,0.00021110936938326623,3.2874631488759244e-06,1.693279332154603e-05,3.677450919167813e-05,7.604648064537693e-05,2.4574672570775527e-05,1.0271316425965125e-05,0.0002826367105178978,0.0001393237467969543,4.7773279398418055e-05,-3.742131982787162e-05,0.00026893195881705774,-0.0002384857668734394,-1.8334591935084822e-05,-2.5831959023239037e-05,3.5147083025165757e-05,-4.409967432975683e-05,1.0024157771046815e-05,1.6286513961423245e-05
36,2.25,0.01,100,1,300000.0,-0.00020459217494735797,0.00013844052005374414,0.00019813419718536237,0.00018980500955691491,3.906338170144807e-05,-2.3674938939038726e-05,0.00015737830737073342,6.208343260368909e-05,3.1207519131853513e-06,4.9879194936474116e-05,5.752538120276749e-05,-0.00026233162197547365,-4.7793754875570074e-05,-4.574603886500384e-05,0.00026182887333036823,0.00016124815586831306,2.9991879182089948e-05,2.77232282584887e-05,-2.1848953415099296e-05,0.0001962734898217628,3.289040406469563e-05,4.7184987283801216e-05,0.0001522476954652719,-0.00010826405971075563,-7.549953071009508e-06,2.8577661770731802e-05
37,2.25,0.01,100,1,300000.0,-0.0002710115386361008,0.00019884330394814165,0.0001794224959821245,0.0001093723385640848,-4.58561754735816e-05,-4.384860546901038e-05,0.00013340887723339113,0.00017751811921874457,4.223617994663388e-06,2.2627607543913526e-05,-0.00027290589002209253,0.00015041734093289337,-2.4107119893929564e-05,-7.986731883495324e-06,4.0082088359598054e-05,-0.0002676952761695232,2.749395227409932e-05,1.9326103865735732e-05,0.00022184176112074913,-8.382543916335034e-05,1.6037990574283565e-06,1.644940254490317e-05,-0.0002844594795525298,6.883425617270136e-05,2.2997561645036716e-05,1.399858913492142e-05
38,2.25,0.01,100,1,300000.0,-0.00012486296992636112,-0.000262917693785371,-0.0001856578109109774,-0.000246926586176924,4.702834417546149e-05,1.2248298604194304e-06,-5.051657085275538e-05,-6.867312701945807e-05,-1.3007754820663966e-05,4.651533095582323e-05,6.626473558518035e-05,0.00022418517280788102,-3.692645310948367e-05,-3.6478795218123364e-05,-0.00013319076797108185,2.6267090875123518e-05,2.853905541981279e-07,1.8186422880891733e-05,-3.082024632618377e-05,4.4665031859083344e-05,3.535833664789271e-05,-2.6113618141720863e-05,-7.368960363338714e-05,-0.00010438870158185095,-4.991879518710248e-05,4.8882388064405375e-05
39,2.25,0.01,100,1,300000.0,4.698873353667745e-05,-0.00027620234618356697,-0.00016117272702966724,0.00017586510898928882,6.406737483971636e-06,1.5874536177442015e-05,0.00022602070657404602,0.0002222362007290772,-3.601947987046419e-05,-3.2045716771854e-05,-1.7847896943910346e-05,0.0002944537370641644,-1.939158942016074e-05,-1.2801257079133102e-05,-0.0002858291657541643,-6.428884910894265e-05,4.191251731411191e-05,4.225921800703809e-05,-8.090444981581803e-05,6.022013972832325e-05,4.1780589209748974e-05,4.156803888965198e-05,-0.00021092370828199595,0.00016080765197105354,-8.492523781990815e-06,-4.723756388935595e-05
40,2.25,0.01,100,1,300000.0,9.135901001732909e-05,0.00020247368867542392,0.0001760635837105222,0.00011598647073915246,-4.350077569843589e-05,-1.374550569823664e-05,-3.183528797799011e-05,0.00024922835887442816,4.7991669327485094e-05,-1.6231369690265516e-05,0.0002877357281200386,4.157710192887685e-05,3.4989128039073206e-05,3.4619811321624204e-05,-5.074238529874077e-05,-0.00024157073297719883,1.0643387644118051e-05,4.72265024612686e-05,-8.22490058934344e-05,-1.1839716909171764e-05,-4.02323719481942e-05,1.7318317940746937e-05,7.722190267127896e-05,-0.0001371582642089898,-1.5009277874577221e-05,-1.613765276977405e-05
41,2.25,0.01,100,1,300000.0,0.000165488383076306,-0.00015809778339145379,-0.00012862707364238253,0.00024603513080643304,-4.4637594292434525e-05,-1.8566939583104007e-05,0.00020854208724788165,0.00015175440240461146,-3.434407033352757e-05,4.7086173434140336e-05,6.582533345822169e-05,0.00011383326979324756,-3.323840206462329e-05,2.5860899779756514e-05,0.000232067531063091,0.00018087648536886593,-3.2761231330362953e-05,9.104302524113887e-06,2.509897804515846e-05,-0.0002266721767436709,4.184672040239023e-06,2.4017192775650834e-05,0.0001142339341794335,0.00021936907476435412,2.5343867192065035e-05,9.770033360669028e-06
